      DATE/TIME      ,   CH1	 ,  CH2     ,  CH3    ,  CH4     ,   CH5     ,  CH6     ,  CH7     ,  
03/30/2024 12:54:32.2,   14.42380,  14.42360,  0.00138,   0.00262,   14.42180,  14.47430,  14.47120,  
03/30/2024 12:54:33.6,   14.42280,  14.42460,  0.00481,   0.00430,   14.42060,  14.47430,  14.47120,  
03/30/2024 12:54:34.8,   14.42330,  14.42270,  0.00354,   0.00333,   14.42060,  14.47490,  14.47140,  
03/30/2024 12:54:36.1,   14.42330,  14.42370,  0.00331,   0.00367,   14.42120,  14.47430,  14.47120,  
03/30/2024 12:54:37.5,   14.42230,  14.42320,  0.00925,   0.00913,   14.41490,  14.47430,  14.47080,  
03/30/2024 12:54:38.8,   14.42230,  14.42370,  0.00717,   0.00674,   14.41790,  14.47320,  14.47020,  
03/30/2024 12:54:40.1,   14.42230,  14.42510,  0.00975,   0.00897,   14.41400,  14.47140,  14.46830,  
03/30/2024 12:54:41.4,   14.42150,  14.42180,  0.00430,   0.00588,   14.41730,  14.47090,  14.46790,  
03/30/2024 12:54:42.7,   14.42000,  14.42230,  -0.00262,  -0.00114,  14.41850,  14.47210,  14.46860,  
03/30/2024 12:54:44.0,   14.42290,  14.42270,  0.00102,   -0.00043,  14.42390,  14.47210,  14.46890,  
03/30/2024 12:54:45.2,   14.42380,  14.42370,  0.00596,   0.00540,   14.42060,  14.47140,  14.46920,  
03/30/2024 12:54:46.5,   14.42280,  14.42370,  0.00574,   0.00590,   14.41910,  14.47200,  14.46860,  
03/30/2024 12:54:47.8,   14.42190,  14.42320,  0.00231,   0.00249,   14.42240,  14.47200,  14.46860,  
03/30/2024 12:54:49.1,   14.42290,  14.42420,  0.00517,   0.00454,   14.42060,  14.47200,  14.46830,  
03/30/2024 12:54:51.4,   14.42330,  14.42270,  0.00553,   0.00603,   14.41970,  14.47030,  14.46830,  
03/30/2024 12:54:52.5,   14.42330,  14.42320,  0.00553,   0.00816,   14.41580,  14.47030,  14.46760,  
03/30/2024 12:54:53.8,   14.42330,  14.42320,  0.00524,   0.00477,   14.42030,  14.47040,  14.46760,  
03/30/2024 12:54:56.4,   14.42380,  14.42420,  0.00567,   0.00606,   14.41910,  14.47040,  14.46760,  
03/30/2024 12:55:00.2,   14.42380,  14.42510,  INVALID,   0.00278,   14.41790,  14.46760,  14.46760,  
03/30/2024 12:55:02.0,   14.42380,  14.42310,  INVALID,   0.00690,   14.41970,  14.46750,  14.46470,  
03/30/2024 12:55:03.4,   14.42330,  14.42370,  0.00746,   0.00658,   14.42160,  14.46750,  14.46440,  
03/30/2024 12:55:04.7,   14.42240,  14.42370,  0.01368,   0.01147,   14.41610,  14.46630,  14.46340,  
03/30/2024 12:55:05.9,   14.42330,  14.42420,  0.00589,   0.00580,   14.42090,  14.46800,  14.46510,  
03/30/2024 12:55:07.2,   14.42090,  14.42270,  0.01168,   0.01123,   14.41460,  14.46750,  14.46440,  
03/30/2024 12:55:08.6,   14.42050,  14.42270,  0.00496,   0.00556,   14.41580,  14.46690,  14.46380,  
03/30/2024 12:55:09.9,   14.42090,  14.42280,  0.01840,   0.01398,   14.41580,  14.46520,  14.46180,  
03/30/2024 12:55:11.2,   14.42140,  14.42230,  0.01718,   0.01587,   14.41310,  14.46410,  14.46180,  
03/30/2024 12:55:12.5,   14.42010,  14.42240,  0.00882,   0.00910,   14.41400,  14.46630,  14.46280,  
03/30/2024 12:55:13.8,   14.42150,  14.42180,  0.00533,   0.00595,   14.40820,  14.46750,  14.46410,  
03/30/2024 12:55:15.1,   14.41950,  14.42220,  0.01554,   0.01532,   14.40830,  14.46580,  14.46250,  
03/30/2024 12:55:16.4,   14.42230,  14.42270,  0.00796,   0.00960,   14.41240,  14.46460,  14.46090,  
03/30/2024 12:55:17.7,   14.41960,  14.42080,  0.01911,   0.01902,   14.40430,  14.46460,  14.46160,  
03/30/2024 12:55:19.0,   14.41810,  14.42180,  0.01668,   0.01477,   14.41130,  14.46350,  14.46000,  
03/30/2024 12:55:20.3,   14.42230,  14.42130,  0.01304,   0.01170,   14.41010,  14.46460,  14.46220,  
03/30/2024 12:55:21.6,   14.42330,  14.42230,  0.02097,   0.02437,   14.39880,  14.46630,  14.46280,  
03/30/2024 12:55:22.9,   14.42140,  14.42370,  0.00646,   0.00603,   14.41760,  14.46590,  14.46310,  
03/30/2024 12:55:24.2,   14.42330,  14.42370,  0.00431,   0.00302,   14.42300,  14.46750,  14.46470,  
03/30/2024 12:55:25.5,   14.42230,  14.42270,  0.00151,   0.00144,   14.42300,  14.46970,  14.46660,  
03/30/2024 12:55:26.7,   14.42150,  14.42270,  0.00038,   -0.00051,  14.42250,  14.47030,  14.46730,  
03/30/2024 12:55:28.0,   14.42140,  14.42320,  0.00116,   -0.00004,  14.42420,  14.47090,  14.46760,  
03/30/2024 12:55:29.3,   14.42100,  14.42320,  -0.00069,  -0.00041,  14.42520,  14.47090,  14.46790,  
03/30/2024 12:55:30.6,   14.42190,  14.42370,  0.01082,   0.00887,   14.41370,  14.47100,  14.46730,  
03/30/2024 12:55:32.0,   14.42330,  14.42460,  0.00689,   0.00603,   14.42120,  14.46970,  14.46600,  
03/30/2024 12:55:33.3,   14.42430,  14.42570,  0.00596,   0.00682,   14.42300,  14.46970,  14.46660,  
03/30/2024 12:55:34.6,   14.42290,  14.42510,  0.00617,   0.00414,   14.42090,  14.47100,  14.46760,  
03/30/2024 12:55:35.8,   14.42380,  14.42650,  0.00202,   0.00249,   14.42210,  14.47150,  14.46860,  
03/30/2024 12:55:37.1,   14.42570,  14.42600,  0.00302,   0.00391,   14.42160,  14.47090,  14.46820,  
03/30/2024 12:55:38.4,   14.42570,  14.42510,  0.00188,   0.00176,   14.42330,  14.47140,  14.46830,  
03/30/2024 12:55:39.7,   14.42520,  14.42460,  0.00102,   0.00147,   14.42240,  14.47200,  14.46890,  
03/30/2024 12:55:41.1,   14.42470,  14.42510,  0.00539,   0.00651,   14.42000,  14.47270,  14.47020,  
03/30/2024 12:55:42.4,   14.42560,  14.42570,  0.00109,   0.00097,   14.42390,  14.47430,  14.47080,  
03/30/2024 12:55:43.7,   14.42470,  14.42460,  0.00217,   0.00163,   14.42360,  14.47430,  14.47150,  
03/30/2024 12:55:45.0,   14.42470,  14.42420,  0.00145,   0.00168,   14.42280,  14.47430,  14.47140,  
03/30/2024 12:55:46.3,   14.42330,  14.42420,  0.00304,   0.00254,   14.42270,  14.47490,  14.47120,  
03/30/2024 12:55:47.6,   14.42380,  14.42460,  0.00360,   0.00317,   14.42240,  14.47370,  14.47080,  
03/30/2024 12:55:48.9,   14.42430,  14.42420,  0.00152,   0.00239,   14.42300,  14.47370,  14.47020,  
03/30/2024 12:55:50.3,   14.42330,  14.42320,  0.00238,   0.00231,   14.42210,  14.47320,  14.46960,  
03/30/2024 12:55:51.6,   14.42380,  14.42370,  0.00274,   0.00278,   14.42210,  14.47260,  14.46960,  
03/30/2024 12:55:52.9,   14.42330,  14.42330,  0.00109,   0.00113,   14.42420,  14.47260,  14.46960,  
03/30/2024 12:55:54.2,   14.42380,  14.42420,  0.00431,   0.00372,   14.42210,  14.47260,  14.46950,  
03/30/2024 12:55:55.5,   14.42380,  14.42430,  0.00274,   0.00273,   14.42100,  14.47270,  14.46950,  
03/30/2024 12:55:56.8,   14.42280,  14.42460,  0.00046,   0.00034,   14.42490,  14.47270,  14.46920,  
03/30/2024 12:55:58.1,   14.42330,  14.42370,  0.00167,   0.00192,   14.42210,  14.47200,  14.46920,  
03/30/2024 12:55:59.4,   14.42230,  14.42370,  0.00374,   0.00286,   14.42220,  14.47210,  14.46890,  
03/30/2024 12:56:00.7,   14.42330,  14.42430,  0.00265,   0.00184,   14.42300,  14.47140,  14.46860,  
03/30/2024 12:56:02.0,   14.42290,  14.42430,  0.00217,   0.00192,   14.42210,  14.47030,  14.46730,  
